cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,394,1411.11%,4233.35,1y 54d 16h 6m,1y 54d 16h 6m
ADAUSDT Perpetual,744,1375.00%,165.00,61d 15h,61d 15h
ETHUSDT Perpetual,179,1249.60%,3748.82,1y 54d 16h 27m,1y 54d 16h 27m
DOGEUSDT Perpetual,65,1024.46%,178.26,1y 7h 31m,1y 7h 31m
CHZUSDT Perpetual,17,928.74%,2371.56,1y 28d 6h 27m,1y 28d 6h 27m
TRXUSDT Perpetual,50,872.46%,183.22,154d 16h 13m,154d 16h 13m
ALICEUSDT Perpetual,10,819.16%,737.25,348d 16h 49m,348d 16h 49m
ETHUSDT Perpetual,0,792.92%,1958.53,1y 53d 22h 38m,1y 53d 22h 38m
ANKRUSDT Perpetual,9,771.00%,77.10,320d 1h 48m,320d 1h 48m
XMRUSDT Perpetual,6,698.84%,4193.07,157d 18h 25m,157d 18h 25m
ETHUSDT Perpetual,0,682.37%,1856.06,1y 53d 7h 39m,1y 53d 7h 39m
UNFIUSDT Perpetual,59,674.03%,134.81,28d 12h 24m,28d 12h 24m
BTCUSDT Perpetual,33,640.73%,44.85,1y 32d 11m,1y 32d 11m
API3USDT Perpetual,19,618.02%,123.60,37d 4h 45m,37d 4h 45m
BAKEUSDT Perpetual,15,609.23%,60.92,48d 7h 11m,48d 7h 11m
XMRUSDT Perpetual,0,560.16%,1120.33,1y 24d 10h 43m,1y 24d 10h 43m
CRVUSDT Perpetual,0,502.72%,235.28,30d 8h 11m,30d 8h 11m
BTCUSDT Perpetual,3,439.78%,219.89,1y 86d 3h 20m,1y 86d 3h 20m
UNIUSDT Perpetual,0,421.69%,1319.89,1y 27d 6h 13m,1y 27d 6h 13m
LTCUSDT Perpetual,1,421.38%,1259.94,1y 27d 6h 11m,1y 27d 6h 11m
PEOPLEUSDT Perpetual,8,388.65%,32.14,42d 10h 8m,42d 10h 8m
ZECUSDT Perpetual,0,385.23%,192.62,138d 18h 40m,138d 18h 40m
DUSKUSDT Perpetual,5,373.50%,22.04,29d 10h 52m,29d 10h 52m
BTCUSDT Perpetual,6,366.80%,99.04,20d 22h 19m,20d 22h 19m
LTCUSDT Perpetual,0,360.53%,93.27,245d 1h 34m,245d 1h 34m
BTCUSDT Perpetual,2,358.44%,96.78,20d 22h 20m,20d 22h 20m
ADAUSDT Perpetual,1,354.80%,23.91,61d 17h 10m,61d 17h 10m
KNCUSDT Perpetual,0,341.14%,852.87,1y 68d 15h 46m,1y 68d 15h 46m
LINKUSDT Perpetual,1,335.72%,271.27,61d 9h 9m,61d 9h 9m
BAKEUSDT Perpetual,9,331.50%,341.08,19d 3h 9m,19d 3h 9m
ETHUSDT Perpetual,7,328.30%,46.85,29d 10h 29m,29d 10h 29m
BLZUSDT Perpetual,0,321.47%,96.44,153d 5h 59m,153d 5h 59m
ETHBUSD Perpetual,15,312.80%,378.49,26d 10h 16m,26d 10h 16m
TRXUSDT Perpetual,2,309.91%,396.70,176d 13h 53m,176d 13h 53m
AVAXUSDT Perpetual,0,307.43%,676.35,237d 4h 37m,237d 4h 37m
TRXUSDT Perpetual,0,306.15%,153.08,102d 6h 41m,102d 6h 41m
BTSUSDT Perpetual,0,303.35%,39.44,22d 17h 13m,22d 17h 13m
TRBUSDT Perpetual,4,301.30%,155.02,32d 6h 35m,32d 6h 35m
SOLUSDT Perpetual,2,287.21%,23.75,25d 3h 55m,25d 3h 55m
ETHUSDT Perpetual,0,284.98%,1.62,9d 1h 9m,9d 1h 9m
SNXUSDT Perpetual,45,277.11%,16.85,22d 1h 6m,22d 1h 6m
GMTUSDT Perpetual,5,273.98%,410.98,13d 9h 27m,13d 9h 27m
UNIUSDT Perpetual,0,273.81%,46.55,59d 12h 50m,59d 12h 50m
ARUSDT Perpetual,0,266.62%,239.96,138d 18h 44m,138d 18h 44m
EOSUSDT Perpetual,0,266.46%,532.94,29d 21h 52m,29d 21h 52m
ZRXUSDT Perpetual,8,263.81%,13.19,15d 2h 27m,15d 2h 27m
BTCBUSD Perpetual,14,263.54%,21.53,24d 13h 37m,24d 13h 37m
ETHUSDT Perpetual,0,261.75%,261.75,11d 13h 35m,11d 13h 35m
KNCUSDT Perpetual,3,261.46%,261.47,20d 22h 4m,20d 22h 4m
TLMBUSD Perpetual,1,260.56%,390.84,26d 16h 24m,26d 16h 24m
THETAUSDT Perpetual,0,259.18%,103.67,28d 8h 31m,28d 8h 31m
JASMYUSDT Perpetual,0,256.71%,12.32,29d 2h 37m,29d 2h 37m
1000SHIBUSDT Perpetual,5,254.33%,25.43,18d 3h 13m,18d 3h 13m
1000SHIBUSDT Perpetual,10,253.51%,20.28,19d 17h 54m,19d 17h 54m
MATICUSDT Perpetual,4,250.80%,105.44,19d 20h 47m,19d 20h 47m
BTCUSDT Perpetual,7,246.77%,163.66,28d 22h 39m,28d 22h 39m
FLMUSDT Perpetual,2,245.80%,31.98,17d 23h 36m,17d 23h 36m
LINKUSDT Perpetual,0,241.11%,1205.55,63d 18h 54m,63d 18h 54m
BNBUSDT Perpetual,1,238.98%,17.88,28d 19h 34m,28d 19h 34m
AXSUSDT Perpetual,1,238.31%,125.26,22d 22h 37m,22d 22h 37m
AVAXUSDT Perpetual,0,236.84%,134.62,22d 22h 37m,22d 22h 37m
BNBUSDT Perpetual,0,235.82%,589.57,1y 77d 14h 19m,1y 77d 14h 19m
IOSTUSDT Perpetual,2,233.59%,13.08,29d 3h 44m,29d 3h 44m
1000XECUSDT Perpetual,1,223.57%,11.18,19d 17h 48m,19d 17h 48m
ANCBUSD Perpetual,4,223.41%,67.02,23d 15m,23d 15m
SNXUSDT Perpetual,1,221.50%,27.27,12d 15h 51m,12d 15h 51m
XMRUSDT Perpetual,1,219.90%,479.39,116d 12h 49m,116d 12h 49m
API3USDT Perpetual,0,219.57%,27.23,13d 6h 24m,13d 6h 24m
ALPHAUSDT Perpetual,0,218.87%,5.91,21d 10h 40m,21d 10h 40m
ATOMUSDT Perpetual,0,218.54%,74.30,231d 15h 4m,231d 15h 4m
GMTUSDT Perpetual,6,218.03%,8.70,29d 17h 13m,29d 17h 13m
XTZUSDT Perpetual,0,217.75%,653.28,20d 18h 59m,20d 18h 59m
NEARUSDT Perpetual,1,213.10%,111.71,22d 23h 12m,22d 23h 12m
ADAUSDT Perpetual,0,212.64%,35.34,164d 23h 37m,164d 23h 37m
ZILUSDT Perpetual,0,211.16%,2.32,92d 22h 22m,92d 22h 22m
EOSUSDT Perpetual,2,210.40%,63.12,14d 6h 27m,14d 6h 27m
KSMUSDT Perpetual,0,206.58%,347.06,31d 3h 57m,31d 3h 57m
PEOPLEUSDT Perpetual,0,204.91%,1024.56,46d 9h 47m,46d 9h 47m
MANAUSDT Perpetual,1,199.64%,39.93,32d 8h 4m,32d 8h 4m
SUSHIUSDT Perpetual,1,198.71%,71.54,51d 14h 55m,51d 14h 55m
DOTUSDT Perpetual,0,192.41%,10.14,27d 10h 15m,27d 10h 15m
STORJUSDT Perpetual,0,191.14%,57.34,22d 12h 30m,22d 12h 30m
DOTUSDT Perpetual,2,190.67%,575.85,62d 8h 15m,62d 8h 15m
CHZUSDT Perpetual,0,188.71%,18.87,19d 16h 9m,19d 16h 9m
MASKUSDT Perpetual,0,188.04%,376.09,21d 20h,21d 20h
HNTUSDT Perpetual,1,187.75%,39.43,33d 23h 32m,33d 23h 32m
APEUSDT Perpetual,0,187.25%,18.73,14d 14h 52m,14d 14h 52m
LUNA2BUSD Perpetual,1,185.21%,203.74,28d 13h 3m,28d 13h 3m
THETAUSDT Perpetual,0,184.19%,185.12,27d 14h 29m,27d 14h 29m
UNFIUSDT Perpetual,0,183.69%,18.37,13d 5h 41m,13d 5h 41m
XRPUSDT Perpetual,2,182.67%,11.16,29d 11h 8m,29d 11h 8m
MATICUSDT Perpetual,1,182.56%,12.58,42d 3h 20m,42d 3h 20m
ETHUSDT Perpetual,1,182.16%,21.57,28d 21h 30m,28d 21h 30m
LINKUSDT Perpetual,0,181.00%,98.94,20d 3h 48m,20d 3h 48m
XRPUSDT Perpetual,17,180.91%,22613.89,1y 51d 5h 17m,1y 51d 5h 17m
SOLUSDT Perpetual,0,180.61%,90.31,23d 21h 41m,23d 21h 41m
BATUSDT Perpetual,0,180.05%,21.61,25d 9h 27m,25d 9h 27m
FTMBUSD Perpetual,0,178.58%,17.86,29d 4h 4m,29d 4h 4m
IOTXUSDT Perpetual,0,178.44%,12.76,28d 7h 31m,28d 7h 31m
AVAXUSDT Perpetual,1,173.58%,168.37,46d 12h 39m,46d 12h 39m
MASKUSDT Perpetual,0,173.36%,26.01,19d 18h 38m,19d 18h 38m
