cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1494,923.17%,8115.18,58d 19h 54m
GMT/BUSD,25,689.23%,670.93,68d 17h 29m
GMT/BUSD,8,589.68%,594.56,67d 4h 11m
GMT/BUSD,6,472.50%,506.20,67d 6m
GMT/BUSD,5,335.25%,539.87,65d 2h 17m
GMT/BUSD,1,328.90%,635.81,91d 19h 56m
GMT/BUSD,1,317.79%,425.33,58d 1h 48m
GMT/BUSD,8,313.32%,11050.58,74d 18h 38m
GMT/BUSD,1,304.69%,1481.29,92d 3h 26m
GMT/BUSD,8,297.53%,1068.89,61d 4h 26m
GMT/BUSD,0,246.97%,820.16,61d 15h 28m
GMT/BUSD,2,244.13%,462.27,61d 22h 8m
GMT/BUSD,0,242.79%,651.28,63d 20h 29m
GMT/BUSD,0,238.73%,469.77,63d 15h 7m
GMT/BUSD,0,228.46%,860.23,67d 21h 15m
GMT/BUSD,1,196.10%,340.01,55d 13h 12m
GMT/BUSD,0,175.62%,404.88,92d 12h 52m
GMT/BUSD,2,163.84%,720.97,53d 17h 11m
ANC/USDT,57,128.05%,52.97,63d 19h 51m
GMT/BUSD,0,123.24%,324.85,81d 13h 11m
GMT/BUSD,0,116.89%,393.51,80d 4h 51m
GMT/BUSD,0,111.09%,598.01,88d 20h 31m
GMT/BUSD,0,110.09%,581.66,91d 19h 59m
GMT/BUSD,0,102.14%,412.56,80d 9h 43m
GMT/BUSD,0,99.21%,278.80,83d 23h 35m
TCT/BTC,6,95.52%,39.71,67d 20h 50m
ANC/BNB,9,91.21%,88.40,65d 20h 15m
UMA/BUSD,1,89.30%,262.84,70d 11h 41m
GMT/BUSD,0,86.58%,479.26,77d 17h 6m
GMT/BUSD,0,86.42%,422.07,82d 21h 10m
MATIC/USDT,1,84.85%,1522.13,36d 13h 35m
GMT/BUSD,2,83.66%,68.96,82d 9h 21m
CVX/BUSD,0,79.89%,3092.19,34d 14h
DYDX/USDT,2,79.09%,711.56,33d 18h 14m
FORTH/BUSD,0,76.58%,88.75,52d 6h 55m
GMT/BUSD,0,76.42%,1327.92,85d 11h 24m
MATIC/USDT,1,74.24%,433.82,20d 16h 54m
OG/USDT,3,67.53%,955.78,57d 14h 17m
TRX/BUSD,3,66.97%,311.81,103d 17h 25m
ASR/USDT,4,65.77%,44.85,58d 16h 30m
GMT/BUSD,1,65.07%,87.12,32d 19h 38m
KP3R/USDT,1,61.92%,68.97,68d 13h 20m
GMT/BUSD,0,61.91%,28.18,32d 20h 39m
GMT/BUSD,0,61.71%,1855.98,82d 16h 24m
GMT/BUSD,1,61.63%,25.02,32d 21h 10m
GMT/BUSD,0,61.23%,55.05,32d 11h 25m
GMT/BUSD,3,60.90%,30.90,32d 12h 11m
GMT/BUSD,0,60.59%,129.77,83d 7h 13m
TRX/BUSD,0,60.26%,1931.46,94d 8h 48m
FLM/BTC,4,60.11%,66.87,82d 55m
PEOPLE/USDT,3,59.73%,87.07,68d 18h 48m
FORTH/BUSD,0,59.14%,64.87,65d 15h 40m
ETH/USDT,239,58.61%,60401.99,32d 9h 51m
CTXC/USDT,2,58.48%,60.69,69d 10h 16m
GMT/BUSD,0,58.46%,488.59,33d 12h 10m
GMT/BUSD,0,58.39%,549.11,32d 20h 6m
GMT/BUSD,0,57.62%,334.53,35d 21h 33m
GMT/BUSD,0,57.54%,373.03,76d 16h 42m
GMT/BUSD,0,57.29%,28.36,32d 23h 1m
ETC/USDT,2,56.95%,5192.95,32d 20h 24m
DODO/BUSD,6,56.08%,95.58,57d 11h 20m
GMT/BUSD,0,55.97%,88.88,55d 9h 54m
GTC/BUSD,0,55.53%,453.78,65d 10h 31m
TROY/BUSD,1,53.57%,149.27,56d 18h 17m
RARE/BNB,1,52.35%,36.10,65d 5h 52m
GMT/BUSD,0,50.73%,20.88,32d 23h 30m
GMT/BUSD,0,50.02%,20.20,33d 14h 18m
ENS/BUSD,1,48.66%,45.97,68d 22h 13m
ETC/USDT,0,48.55%,34809.19,7d 1h 20m
UNI/BTC,0,48.44%,1000.24,54d 3h 16m
RARE/BUSD,1,48.25%,52.53,55d 7h 38m
LINK/USDT,3,48.17%,240.07,39d 3h 20m
GMT/USDT,9,47.89%,469.28,70d 22h 8m
PORTO/USDT,0,47.48%,88.50,60d 18h 50m
GMT/BUSD,1,47.41%,21.36,31d 16h 59m
AVAX/USDT,10,47.18%,423.42,35d 18h 46m
ENS/USDT,1,47.12%,84.83,68d 8h 18m
PEOPLE/BTC,1,46.89%,1040.71,70d 14h 44m
KEY/USDT,0,46.82%,104.51,57d 11h 20m
GMT/BUSD,3,46.64%,29.64,31d 11h 49m
GMT/BUSD,0,46.58%,20.45,33d 19h 2m
AAVE/USDT,2,46.29%,245.94,20d 18h 19m
PAXG/BTC,4,45.88%,168.99,77d 22h 7m
TCT/USDT,1,45.78%,59.76,39d 20h 45m
COCOS/USDT,1,45.57%,215.25,47d 16h 34m
THETA/USDT,2,45.52%,98.39,59d 9h 18m
DUSK/BTC,1,44.63%,172.16,67d 7h 30m
SHIB/DOGE,0,44.11%,48.23,164d 13h 40m
AAVE/ETH,1,44.01%,395.63,69d 22h 41m
APE/BUSD,3,43.99%,438.19,33d 3h 19m
ETH/BUSD,5,43.63%,3420.41,32d 15h 24m
LAZIO/BUSD,3,43.59%,117.65,60d 2h 19m
ERN/BUSD,0,42.79%,154.51,37d 8h 14m
BETA/ETH,0,41.87%,39.48,52d 13h 21m
LINK/USDT,1,41.87%,54.31,69d 18h 30m
