cryptoPair,copyPopularity,roi,pnl,runningTime,direction
BNBUSDT Perpetual,373,1430.15%,4290.46,1y 52d 23h 6m,1y 52d 23h 6m
ADAUSDT Perpetual,693,1335.97%,160.32,59d 22h,59d 22h
ETHUSDT Perpetual,172,1299.15%,3897.47,1y 52d 23h 27m,1y 52d 23h 27m
DOGEUSDT Perpetual,61,1027.50%,178.79,363d 14h 31m,363d 14h 31m
CHZUSDT Perpetual,16,959.63%,2450.44,1y 26d 13h 27m,1y 26d 13h 27m
TRXUSDT Perpetual,46,877.20%,184.21,152d 23h 13m,152d 23h 13m
ETHUSDT Perpetual,0,860.86%,2126.35,1y 52d 5h 38m,1y 52d 5h 38m
ALICEUSDT Perpetual,9,819.16%,737.25,346d 23h 49m,346d 23h 49m
ANKRUSDT Perpetual,0,780.67%,78.07,318d 8h 48m,318d 8h 48m
BAKEUSDT Perpetual,7,755.96%,75.60,46d 14h 11m,46d 14h 11m
UNFIUSDT Perpetual,48,752.84%,150.57,26d 19h 24m,26d 19h 24m
ETHUSDT Perpetual,0,740.87%,2015.19,1y 51d 14h 39m,1y 51d 14h 39m
XMRUSDT Perpetual,4,716.81%,4300.91,156d 1h 25m,156d 1h 25m
BTCUSDT Perpetual,27,640.73%,44.85,1y 30d 7h 11m,1y 30d 7h 11m
XMRUSDT Perpetual,0,603.66%,1207.32,1y 22d 17h 43m,1y 22d 17h 43m
API3USDT Perpetual,13,529.10%,105.82,35d 11h 45m,35d 11h 45m
CRVUSDT Perpetual,0,502.72%,235.28,28d 15h 11m,28d 15h 11m
UNIUSDT Perpetual,0,464.89%,1455.13,1y 25d 13h 13m,1y 25d 13h 13m
BTCUSDT Perpetual,3,446.51%,223.26,1y 84d 10h 20m,1y 84d 10h 20m
LTCUSDT Perpetual,1,444.99%,1330.53,1y 25d 13h 11m,1y 25d 13h 11m
PEOPLEUSDT Perpetual,8,420.09%,34.74,40d 17h 8m,40d 17h 8m
BTCUSDT Perpetual,4,415.87%,112.29,19d 5h 19m,19d 5h 19m
ZECUSDT Perpetual,0,412.95%,206.48,137d 1h 40m,137d 1h 40m
BTCUSDT Perpetual,2,409.73%,110.63,19d 5h 20m,19d 5h 20m
BLZUSDT Perpetual,0,372.50%,111.75,151d 12h 59m,151d 12h 59m
DUSKUSDT Perpetual,3,370.61%,21.87,27d 17h 52m,27d 17h 52m
LTCUSDT Perpetual,0,360.53%,93.27,243d 8h 34m,243d 8h 34m
ADAUSDT Perpetual,1,358.60%,24.17,60d 10m,60d 10m
ZRXUSDT Perpetual,6,352.74%,17.64,13d 9h 27m,13d 9h 27m
KNCUSDT Perpetual,0,350.31%,875.78,1y 66d 22h 46m,1y 66d 22h 46m
ETHUSDT Perpetual,3,347.04%,10.41,12d 20h 51m,12d 20h 51m
BTCUSDT Perpetual,7,343.56%,227.85,27d 5h 39m,27d 5h 39m
LINKUSDT Perpetual,1,338.05%,273.15,59d 16h 9m,59d 16h 9m
TRXUSDT Perpetual,2,314.33%,402.34,174d 20h 53m,174d 20h 53m
KNCUSDT Perpetual,3,313.89%,313.90,19d 5h 4m,19d 5h 4m
EOSUSDT Perpetual,0,312.18%,624.37,28d 4h 52m,28d 4h 52m
TRXUSDT Perpetual,0,309.94%,154.97,100d 13h 41m,100d 13h 41m
AVAXUSDT Perpetual,0,307.43%,676.35,235d 11h 37m,235d 11h 37m
ETHUSDT Perpetual,4,295.70%,42.20,27d 17h 29m,27d 17h 29m
TRBUSDT Perpetual,3,293.96%,151.24,30d 13h 35m,30d 13h 35m
SOLUSDT Perpetual,2,287.21%,23.75,23d 10h 55m,23d 10h 55m
ARUSDT Perpetual,0,277.71%,249.94,137d 1h 44m,137d 1h 44m
SNXUSDT Perpetual,12,274.06%,16.66,20d 8h 6m,20d 8h 6m
LUNA2BUSD Perpetual,1,272.44%,299.68,26d 20h 3m,26d 20h 3m
