cryptoPair,copyPopularity,roi,pnl,runningTime
GMT/BUSD,1,921.10%,8096.97,48d 14h 51m
GMT/BUSD,1,687.59%,669.33,58d 12h 27m
GMT/BUSD,8,587.74%,592.60,56d 23h 8m
GMT/BUSD,4,470.51%,504.07,56d 19h 4m
GMT/BUSD,5,331.83%,534.37,54d 21h 15m
GMT/BUSD,0,328.00%,634.07,81d 14h 54m
GMT/BUSD,1,315.74%,422.58,47d 20h 46m
GMT/BUSD,7,312.18%,11010.31,64d 13h 36m
GMT/BUSD,1,303.80%,1476.96,81d 22h 24m
GMT/BUSD,6,293.92%,1055.93,50d 23h 23m
GMT/BUSD,0,243.18%,807.57,51d 10h 26m
GMT/BUSD,1,242.07%,458.36,51d 17h 6m
GMT/BUSD,0,240.75%,645.80,53d 15h 27m
GMT/BUSD,0,236.65%,465.68,53d 10h 5m
GMT/BUSD,0,226.32%,852.20,57d 16h 13m
GMT/BUSD,1,191.80%,332.56,45d 8h 9m
GMT/BUSD,0,174.81%,403.01,82d 7h 50m
GMT/BUSD,1,159.60%,702.33,43d 12h 8m
GMT/BUSD,0,146.20%,886.81,66d 7h 3m
ANC/USDT,4,133.41%,55.19,53d 14h 49m
GMT/BUSD,0,122.40%,322.64,71d 8h 9m
GMT/BUSD,0,116.01%,390.56,69d 23h 48m
GMT/BUSD,0,110.20%,593.21,78d 15h 28m
GMT/BUSD,0,109.20%,576.94,81d 14h 57m
GMT/BUSD,0,101.25%,408.97,70d 4h 41m
PEOPLE/USDT,2,98.92%,801.25,52d 17h 11m
GMT/BUSD,0,98.42%,276.56,73d 18h 33m
ANC/BNB,6,96.32%,86.08,55d 15h 13m
GMT/BUSD,0,85.66%,474.20,67d 12h 4m
GMT/BUSD,0,85.58%,417.97,72d 16h 7m
UMA/BUSD,1,85.08%,250.43,60d 6h 38m
GMT/BUSD,1,82.88%,68.32,72d 4h 19m
GMT/BUSD,0,75.48%,1311.62,75d 6h 21m
TCT/BTC,3,71.64%,27.04,57d 15h 47m
TRX/BUSD,1,66.01%,307.34,93d 12h 23m
FORTH/BUSD,0,64.66%,74.93,42d 1h 53m
GMT/BUSD,9,63.43%,134.31,22d 12h 16m
ASR/USDT,2,62.83%,42.85,48d 11h 28m
PEOPLE/USDT,1,62.69%,91.39,58d 13h 46m
GMT/BUSD,0,60.92%,1832.16,72d 11h 22m
GMT/BUSD,1,60.17%,80.56,22d 14h 36m
TRX/BUSD,0,60.12%,1927.05,84d 3h 46m
GMT/BUSD,0,59.79%,128.06,73d 2h 11m
DYDX/USDT,1,59.59%,536.16,23d 13h 12m
FLM/BTC,3,59.18%,59.78,71d 19h 53m
OG/USDT,3,57.94%,820.06,47d 9h 15m
CVX/BUSD,0,57.93%,2242.31,24d 8h 58m
GMT/BUSD,0,57.37%,26.11,22d 15h 37m
GMT/BUSD,1,57.15%,23.20,22d 16h 8m
GMT/BUSD,0,56.64%,367.21,66d 11h 40m
GMT/BUSD,0,56.52%,50.81,22d 6h 23m
GMT/BUSD,3,56.35%,28.60,22d 7h 8m
KP3R/USDT,0,56.25%,62.65,58d 8h 18m
GMT/BUSD,0,53.64%,448.35,23d 7h 8m
GMT/USDT,2,53.25%,71.79,22d 3h 27m
GMT/BUSD,0,52.85%,26.16,22d 17h 59m
ASR/USDT,0,52.46%,276.67,36d 8h 20m
PAXG/BTC,4,52.42%,175.26,67d 17h 4m
GMT/BUSD,0,52.34%,303.88,25d 16h 31m
GMT/BUSD,0,51.76%,82.18,45d 4h 52m
GMT/BUSD,0,51.46%,483.97,22d 15h 4m
CTXC/USDT,2,50.15%,52.04,59d 5h 14m
FORTH/BUSD,0,49.35%,54.13,55d 10h 37m
MATIC/USDT,8,49.26%,331.91,21d 14h 22m
GTC/BUSD,0,47.40%,387.38,55d 5h 29m
PEOPLE/BTC,1,46.97%,946.43,60d 9h 42m
UNI/BTC,0,46.78%,876.92,43d 22h 14m
RARE/BNB,1,46.69%,29.69,55d 50m
GMT/BUSD,0,46.58%,19.17,22d 18h 27m
COCOS/BNB,0,46.13%,175.12,43d 6h 36m
GMT/BUSD,0,45.90%,18.53,23d 9h 15m
BNB/ETH,9,44.23%,260.61,98d 18h 17m
GMT/BUSD,0,43.83%,1134.80,24d 7h 3m
GMT/BUSD,0,43.79%,18.83,21d 10h 47m
GMT/BUSD,1,43.32%,19.51,21d 11h 57m
AAVE/ETH,1,43.08%,304.08,59d 17h 38m
GMT/USDT,9,43.03%,1304.20,21d 16h 55m
GMT/USDT,2,42.88%,420.21,60d 17h 5m
GMT/BUSD,0,42.52%,18.67,23d 14h
GMT/BUSD,2,42.45%,26.98,21d 6h 47m
LINK/ETH,2,42.22%,181.27,60d 16h 34m
COCOS/USDT,0,42.15%,199.09,37d 11h 32m
DUSK/BTC,0,41.77%,146.27,57d 2h 28m
UMA/USDT,1,41.38%,111.03,25d 18h 57m
TRX/USDT,0,41.09%,747.06,82d 16h 12m
DODO/BUSD,5,40.87%,69.66,47d 6h 17m
GMT/BUSD,0,40.72%,755.77,23d 6h 38m
AAVE/BUSD,6,40.66%,149.62,25d 19h 5m
FLM/BTC,0,40.58%,32.68,73d 16h 51m
SHIB/DOGE,0,40.45%,43.17,154d 8h 38m
OOKI/BUSD,0,40.41%,146.07,57d 13h 15m
GMT/BUSD,0,40.03%,125.86,74d 5h 10m
THETA/USDT,0,39.85%,86.13,49d 4h 16m
GMT/BUSD,0,39.71%,14.55,21d 9h 18m
TROY/BUSD,0,39.25%,109.38,46d 13h 15m
REQ/BTC,0,39.03%,19.12,48d 2h 47m
MBL/USDT,1,38.98%,105.89,28d 22h 36m
CTK/USDT,0,38.93%,210.15,54d 21h 59m
BEL/BUSD,1,38.80%,119.58,42d 18h 5m
JASMY/BTC,0,38.48%,88.47,84d 23h 48m
LINK/USDT,0,38.37%,191.22,28d 22h 17m
BETA/ETH,0,37.92%,28.08,42d 8h 19m
TRU/BTC,2,37.70%,35.00,15d 12h 14m
ERN/BUSD,0,37.02%,133.68,27d 3h 12m
THETA/BTC,3,36.99%,70.02,33d 5h 45m
ANC/USDT,2,36.83%,49.71,28d 21h 32m
MBL/USDT,0,36.28%,64.67,28d 9h 5m
ENS/USDT,1,36.07%,64.94,58d 3h 16m
OG/BTC,0,35.61%,77.12,26d 13h 49m
LAZIO/BUSD,1,35.57%,96.02,49d 21h 17m
SOL/USDT,2,35.05%,41.86,25d 17h 33m
TRX/BTC,1,34.99%,27.81,62d 12h 27m
TRX/USDT,4,34.93%,160.96,73d 20h 30m
KP3R/USDT,3,34.88%,32.78,14d 8h 37m
PAXG/BTC,1,34.54%,407.76,58d 22h 6m
LINK/USDT,1,34.53%,44.79,59d 13h 27m
BNB/ETH,1,34.45%,227.50,181d 6h 17m
KEY/USDT,0,33.74%,75.32,47d 6h 18m
LINK/USDT,0,33.71%,34.18,59d 15h 35m
SOL/BUSD,1,33.39%,618.91,27d 21h 24m
GMT/BUSD,0,33.22%,59.68,24d 5h 45m
PAXG/BNB,0,33.18%,698.25,46d 12h 44m
ADA/USDT,8,33.05%,639.91,59d 19h 22m
SHIB/DOGE,0,32.81%,21.30,62d 12h 45m
DODO/BTC,0,32.65%,156.52,51d 12h 18m
AVAX/USDT,6,32.41%,290.88,25d 13h 44m
CTK/USDT,0,32.35%,232.81,38d 5h 57m
